,,,,,,
,שם (Name),תיאור,תחום עיסוק,תקופה,סגנון / זרם,קישור לעבודות
,יוזף מולר-ברוקמן (Josef Müller-Brockmann),"מעצב שוויצרי בולט שפיתח ושכלל את השימוש ברשת (Grid) בעיצוב הגרפי. עבודתו מתאפיינת באובייקטיביות, טיפוגרפיה חסרת תגים (Sans-serif) וקומפוזיציות אסימטריות מוקפדות.","עיצוב גרפי, טיפוגרפיה",שנות ה-50 עד ה-90,הסגנון הבינלאומי (Swiss Style),Pinterest
,פול ראנד (Paul Rand),"מעצב אמריקאי שהוביל את תחום המיתוג התאגידי במאה ה-20. עיצב לוגואים מוכרים כגון IBM, ABC ו-UPS, תוך שימוש בשפה חזותית המשלבת פשטות צורנית עם שנינות.","מיתוג, עיצוב גרפי",שנות ה-30 עד ה-90,מודרניזם אמריקאי,Paul Rand Archive
,סול באס (Saul Bass),"מעצב גרפי וקולנוען שחולל תמורה בתחום כרזות הקולנוע וכותרות הפתיחה (Title Sequences). יצר שפה חזותית מינימליסטית וסימבולית עבור סרטים של היצ'קוק, סקורסזה ואחרים.","עיצוב כרזות, מושן, מיתוג",שנות ה-40 עד ה-90,"מודרניזם, אקספרסיוניזם",Saul Bass on Art of the Title
,מילטון גלייזר (Milton Glaser),"מאייר ומעצב גרפי פורה, יוצר הלוגו ""I Love NY"" וכרזת הדיוקן של בוב דילן. סגנונו אקלקטי ומשלב איור, טיפוגרפיה וצבעוניות עשירה המושפעת מתרבות הפופ.","איור, עיצוב גרפי",שנות ה-60 עד ה-2000,"פוסט-מודרניזם, פסיכדליה",Milton Glaser Inc
,פאולה שר (Paula Scher),"שותפה בכירה בסטודיו פנטגרם (Pentagram). מתמחה בשימוש בטיפוגרפיה כדימוי ויזואלי מרכזי ובעיצוב זהויות מוסדיות, כדוגמת התיאטרון הציבורי של ניו יורק (The Public Theater).","מיתוג, טיפוגרפיה סביבתית",שנות ה-70 עד היום,"פוסט-מודרניזם, אקספרסיבי",Pentagram Profile
,סטפן סגמייסטר (Stefan Sagmeister),"מעצב גרפי הידוע בגישתו הניסיונית והפרובוקטיבית. עבודותיו משלבות לרוב את הגוף האנושי ובוחנות מושגים כמו אושר ויופי, לצד עיצוב עטיפות אלבומים למוזיקאים מובילים.","עיצוב גרפי, ארט דיירקשן",שנות ה-90 עד היום,"קונספטואלי, אקספרימנטלי",Sagmeister & Walsh
,דייוויד קרסון (David Carson),"מעצב גרפי וטיפוגרף שאתגר את מוסכמות הקריאות והסדר בשנות ה-90. עבודתו במגזין Ray Gun מאופיינת בטיפוגרפיה שבורה, שימוש בטקסטורות וקומפוזיציות אינטואיטיביות.","עיצוב מגזינים, טיפוגרפיה",שנות ה-90 עד היום,"גראנג׳ (Grunge), דקונסטרוקטיביזם",David Carson Design
,מאסימו ויניילי (Massimo Vignelli),מעצב רב-תחומי שדגל באסתטיקה מודרניסטית קפדנית ובשימוש בגריד. בין עבודותיו הבולטות: מפת הרכבת התחתית של ניו יורק וזהות חברת אמריקן איירליינס.,"עיצוב גרפי, תעשייתי, רהיטים",שנות ה-60 עד 2010,מודרניזם קלאסי,Vignelli Center
,הרב לובלין (Herb Lubalin),מעצב וטיפוגרף שהתמחה בטיפוגרפיה אקספרסיבית. ידוע בשימוש בחיבורי אותיות (Ligatures) ייחודיים ובעיצוב הלוגו והמגזין Avant Garde.,"טיפוגרפיה, עיצוב מגזינים",שנות ה-50 עד ה-80,טיפוגרפיה אקספרסיבית,Lubalin 100
,יאן צ'יכולד (Jan Tschichold),"טיפוגרף תיאורטיקן שניסח את עקרונות ""הטיפוגרפיה החדשה"" ולאחר מכן חזר לסגנון קלאסי יותר. עיצב את הזהות הטיפוגרפית של הוצאת הספרים פינגווין.","טיפוגרפיה, עיצוב ספרים",שנות ה-20 עד ה-70,"המודרניזם המוקדם, קלאסי",MOMA Collection
